video_link,duration,title,views,likes,comments,date,month,year,date_month_year,day
https://www.youtube.com//watch?v=nzj7Wg4DAbs,17,Why humans run the world | Yuval Noah Harari,3181069,88000,4268,24,7,2015,24/7/2015,Fri
https://www.youtube.com//watch?v=E0k4IQ8fDCY,5,Street Art for Hope and Peace | eL Seed | TED Talks,119636,2300,73,23,7,2015,23/7/2015,Thu
https://www.youtube.com//watch?v=NgDGlcxYrhQ,18,Paper towns and why learning is awesome | John Green,2008639,71000,1828,22,7,2015,22/7/2015,Wed
https://www.youtube.com//watch?v=FETryXMpDl8,12,What Islam really says about women | Alaa Murabit,3720750,107000,20435,21,7,2015,21/7/2015,Tue
https://www.youtube.com//watch?v=YA87VEeoZLI,7,"Henry Lin: What we can learn from galaxies far, far away",64588,1100,61,21,7,2015,21/7/2015,Tue
https://www.youtube.com//watch?v=wAIP6fI0NAI,17,How one tweet can ruin your life | Jon Ronson,2862109,95000,6644,20,7,2015,20/7/2015,Mon
https://www.youtube.com//watch?v=tpH2fhwCzSM,8,Eddy Cartaya: My glacier cave discoveries,12797,163,7,20,7,2015,20/7/2015,Mon
https://www.youtube.com//watch?v=uarlIjkHlAs,11,Adam Sadowsky: How to engineer a viral music video,39401,484,17,20,7,2015,20/7/2015,Mon
https://www.youtube.com//watch?v=2XiDdnDCD34,17,Wadah Khanfar: A historic moment in the Arab world,19368,161,26,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=N4wFyRGilp4,17,Robert Wright: The evolution of compassion,32012,503,42,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=MBZyRlxVd-E,18,Robert Thurman: Expanding your circle of compassion,26936,367,16,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=7HD3lrb6VtM,17,"Feisal Abdul Rauf: Lose your ego, find your compassion",32376,435,46,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=8E9Fx71e7zw,18,James Forbes: Compassion at the dinner table,23812,338,57,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=tIhk2EswC_U,17,Dayananda Saraswati: The profound journey of compassion,63338,976,42,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=sEOSCziWuP8,16,Jackie Tabick: The balancing act of compassion,9334,73,2,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=MElm2v5eFf0,2,"Nellie McKay: ""Clonie""",42565,840,64,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=UUfUAJD3qrU,35,"Bill Strickland: Rebuilding a neighborhood with beauty, dignity, hope",14411,218,11,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=OmczrIUzL7A,3,"Rachelle Garniez and Thomas Dolby:  ""La Vie en Rose""",14436,164,13,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=FvAl7Sjddok,4,"Nora York: Singing ""What I Want""",9459,81,4,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=KN_RifMS-vM,5,McKenna Pope: Want to be an activist? Start with your toys,18471,185,19,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=qErZ2AQDMB4,10,Pam Warhurst: How we can eat our landscapes,39125,1000,84,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=Myp1sZBxTR8,6,Bahia Shehab: A thousand times no,19627,332,8,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=27lMmdmy-b8,14,Jonathan Eisen: Meet your microbes,28211,334,7,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=g_3iLapiTCw,14,Vinay Venkatraman: Technology crafts for the digitally underserved,12576,150,4,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=Hui5YH-D6Go,9,Daniel Pauly:  The ocean's shifting baseline,13643,234,5,18,7,2015,18/7/2015,Sat
https://www.youtube.com//watch?v=rP7nmdDA1Fg,12,Marlene Zuk: What we learn from insects’ kinky sex lives,82578,1000,182,17,7,2015,17/7/2015,Fri
https://www.youtube.com//watch?v=b9jb9UjCpik,11,Salvatore Iaconesi: What happened when I open-sourced my brain cancer,41892,550,30,16,7,2015,16/7/2015,Thu
https://www.youtube.com//watch?v=E7oq6J8HvKw,10,Amy Purdy: Living beyond limits,72421,1400,43,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=Qprd1VNNNec,11,"John Bohannon: Dance vs. powerpoint, a modest proposal",9992,168,9,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=uo7w3g24DWo,12,Srdja Popovic: How to topple a dictator,33045,412,93,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=Kqm9AEvJgxU,14,Bilal Bomani: Plant fuels that could power a jet,8383,123,8,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=Q80MfH7xPPE,12,Julian Baggini: Is there a real you?,169612,2700,113,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=9UiK4llJOXc,12,Mick Mountz: What happens inside those massive warehouses?,15178,188,9,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=0ITHly-bhJE,6,Drew Dudley: Everyday leadership,60855,1000,26,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=h9SKyrHRhDo,18,Garth Lenz: The true cost of oil,28610,532,43,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=66-mr600NjU,17,Avi Rubin: All your devices can be hacked,38878,500,9,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=qrNDkRHAA4E,15,Larry Smith: Why you will fail to have a great career,90117,2200,61,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=bJ7rCIq9Lc0,13,Peter Saul: Let's talk about dying,90202,1200,77,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=1US4jjWtua8,18,Jonathan Foley: The other inconvenient truth,26952,309,48,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=SciUx65Q94U,4,Joe Smith: How to use a paper towel,30702,455,27,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=1yVdhRyTxaM,9,Brenda Romero: Gaming for understanding,21813,417,13,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=E22icGCvGXk,7,Tavi Gevinson: A teen just trying to figure it out,46547,890,23,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=I4PU2JlhO80,18,Rick Guidotti: From stigma to supermodel,12082,134,5,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=Fivy99RtMfM,10,"Bart Knols: Cheese, dogs and a pill to kill mosquitoes and end malaria",19742,194,8,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=rx1cyKs3ysg,8,"Michael McDaniel: Cheap, effective shelter for disaster relief",14471,170,13,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=klBwPWL69P8,17,Ken Goldberg: 4 lessons from robots about being human,12830,157,4,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=1gAQ82IHyZ8,18,David Mackay: A reality check on renewables,13884,220,34,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=-cvI1jKxlTM,18,Seth Shostak: ET is (probably) out there — get ready,53676,615,78,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=IZjPnaifVIM,17,David Birch: A new way to stop identity theft,46443,290,19,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=JcJ3MfJNm6g,20,Ami Klin: A new way to diagnose autism,17324,218,22,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=82EHVVftQAw,8,Jon Nguyen: Tour the solar system from home,7919,125,7,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=iyfdWsa1zns,15,Nirmalya Kumar: India's invisible innovation,10849,174,7,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=gzthxdm7XNs,16,Todd Humphreys: How to fool a GPS,14230,166,8,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=R2kOgSVF2Uk,12,Noah Wilson-Rich: Every city needs healthy honey bees,6744,93,5,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=4BaJ8zS49v4,12,John Graham-Cumming: The greatest machine that never was,17279,232,4,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=GROCkg810R0,16,Emma Teeling: The secret of the bat genome,5699,70,2,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=rufeS-lZJg8,10,Megan Kamerick: Women should represent women in media,12514,120,4,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=d6K-sePuFAo,10,Alec Soth + Stacey Baker: This is what enduring love looks like,80196,1300,48,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=sFNmulAb4wM,16,"Adam Garone: Healthier men, one moustache at a time",11103,148,12,15,7,2015,15/7/2015,Wed
https://www.youtube.com//watch?v=P5Mpo4JQZhw,11,Aspen Baker: A better way to talk about abortion,224628,3300,1960,14,7,2015,14/7/2015,Tue
https://www.youtube.com//watch?v=oIGBBPspTKM,19,Noy Thrupkaew: Human trafficking is all around you. This is how it works,308472,4800,219,13,7,2015,13/7/2015,Mon
https://www.youtube.com//watch?v=MgnnQ2CN6yY,15,Ash Beckham: When to take a stand -- and when to let it go,112986,1700,290,10,7,2015,10/7/2015,Fri
https://www.youtube.com//watch?v=PY9DcIMGxMs,15,Everything you think you know about addiction is wrong | Johann Hari,9829207,245000,14959,9,7,2015,9/7/2015,Thu
https://www.youtube.com//watch?v=xkFTZcUPjBg,12,Memory Banda: A Warrior’s Cry Against Child Marriage | TED,129947,2600,146,7,7,2015,7/7/2015,Tue
https://www.youtube.com//watch?v=66ko_cWSHBU,12,The Math Behind Basketball's Wildest Moves | Rajiv Maheswaran | TED Talks,1055812,13000,522,6,7,2015,6/7/2015,Mon
https://www.youtube.com//watch?v=CXvUdCdKTJY,11,Gayle Tzemach Lemmon: Meet the first women to fight on the front lines of an American war,80498,1100,289,2,7,2015,2/7/2015,Thu
https://www.youtube.com//watch?v=DokhOtMp75A,14,Latif Nasser: The amazing story of the man who gave us modern pain relief,92561,1500,103,1,7,2015,1/7/2015,Wed
https://www.youtube.com//watch?v=wfW3aZCFfLA,16,Jimmy Carter: Why I believe the mistreatment of women is the number one human rights abuse,181244,4700,1079,30,6,2015,30/6/2015,Tue
https://www.youtube.com//watch?v=ooIxHVXgLbc,17,The surprising thing I learned sailing solo around the world | Dame Ellen MacArthur,357910,5500,395,29,6,2015,29/6/2015,Mon
https://www.youtube.com//watch?v=tiwVMrTLUWg,15,Chris Urmson: How a driverless car sees the road,819844,10000,804,26,6,2015,26/6/2015,Fri
https://www.youtube.com//watch?v=o3oDpCb7VqI,17,Maryn McKenna: What do we do when antibiotics don’t work any more?,272602,4700,760,25,6,2015,25/6/2015,Thu
https://www.youtube.com//watch?v=0nI65jgHG9o,19,Chip Kidd: The art of first impressions — in design and life,376935,9600,219,23,6,2015,23/6/2015,Tue
https://www.youtube.com//watch?v=Fxt_MZKMdes,11,Roxane Gay: Confessions of a bad feminist | TED,361742,9600,1351,22,6,2015,22/6/2015,Mon
https://www.youtube.com//watch?v=yXZqYFDFgT8,6,An 11-year-old prodigy performs old-school jazz | Joey Alexander,726458,8300,838,19,6,2015,19/6/2015,Fri
https://www.youtube.com//watch?v=yBFC-RtfTfg,5,LaToya Ruby Frazier: A visual history of inequality in industrial America | TED,38850,396,158,19,6,2015,19/6/2015,Fri
https://www.youtube.com//watch?v=_MBiP3G2Pzc,14,Steve Silberman: The forgotten history of autism,176145,4200,494,17,6,2015,17/6/2015,Wed
https://www.youtube.com//watch?v=Vyn_xLrtZaY,16,Margaret Heffernan: Why it's time to forget the pecking order at work,474870,5800,240,16,6,2015,16/6/2015,Tue
https://www.youtube.com//watch?v=o3VwYIazybI,11,Rana el Kaliouby: This app knows how you feel — from the look on your face,112022,1800,160,15,6,2015,15/6/2015,Mon
https://www.youtube.com//watch?v=S8DwxjDrNNM,4,Lee Mokobe: A powerful poem about what it feels like to be transgender,212690,8200,388,13,6,2015,13/6/2015,Sat
https://www.youtube.com//watch?v=oYp5XuGYqqY,22,Do we see reality as it is? | Donald Hoffman,1674439,34000,3579,12,6,2015,12/6/2015,Fri
https://www.youtube.com//watch?v=OAK1UIb-Fio,25,"Sarah Jones: One woman, five characters, and a sex lesson from the future",162739,2400,155,10,6,2015,10/6/2015,Wed
https://www.youtube.com//watch?v=6weGCM3sWKc,12,This is what it's like to go undercover in North Korea | Suki Kim,3537507,92000,4238,9,6,2015,9/6/2015,Tue
https://www.youtube.com//watch?v=Xe2nlti47kA,17,"Linda Cliatt-Wayman: How to fix a broken school? Lead fearlessly, love hard",387194,6900,329,5,6,2015,5/6/2015,Fri
https://www.youtube.com//watch?v=SGG97dDfZ7E,9,Trevor Aaronson: How this FBI strategy is actually creating US-based terrorists,142354,3100,302,5,6,2015,5/6/2015,Fri
https://www.youtube.com//watch?v=9uOMectkCCs,17,The first secret of great design | Tony Fadell,1659768,37000,743,3,6,2015,3/6/2015,Wed
https://www.youtube.com//watch?v=y1KIVZw7Jxk,20,Laura Schulz: The surprisingly logical minds of babies,194863,2800,179,2,6,2015,2/6/2015,Tue
